t,period,sse_prop,o_sse_prop,non_sse_prop,dataset,kt,kt_upper,kt_lower,Rt,Rt_upper,Rt_lower,growth_rate,npi_index,path,ce
2003-02-15,SARS Wave,0.5714285714285714,0,0.2857142857142857,primary,0.3035835527337317,1.2852017772259843,0.0882855415676761,5.064093954693696,7.999489002977823,1.9984797858728425,0.06604969858730884,0,SARS,0
2003-02-15,SARS Wave,0.5714285714285714,0,0.2857142857142857,sensitivity,0.03768109441496838,0.09077612737554713,0.010927005189596259,2.824403320375826,5.426949738955525,1.0002287522958735,0.06604969858730884,0,SARS,0
2003-02-18,SARS Wave,0.5714285714285714,0,0.2857142857142857,primary,0.08738573850985151,0.22000938642427476,0.02262909740815491,17.862122798381492,44.319382821289246,1.4441497432041457,0.09526291368604878,0,SARS,0
2003-02-18,SARS Wave,0.5714285714285714,0,0.2857142857142857,sensitivity,0.0958878669700924,0.22665302219262118,0.03393608571524911,16.020887084235618,38.20674097421798,1.9103417173700417,0.09526291368604878,0,SARS,0
2003-02-21,SARS Wave,0.6071428571428571,0,0.17857142857142858,primary,0.11118377936545822,0.3140654648069429,0.03497997721374253,13.583813470181616,35.78609169131077,0.7270640178837735,0.1273965740980632,5.555555556,SARS,0.05555555556
2003-02-21,SARS Wave,0.6071428571428571,0,0.17857142857142858,sensitivity,0.11424973826761257,0.2660744361822507,0.045703389836770594,12.407001024503836,30.73090224552731,1.3078515162610858,0.1273965740980632,5.555555556,SARS,0.05555555556
2003-02-23,SARS Wave,0.6071428571428571,0,0.10714285714285714,primary,0.13698665598640702,0.4895602940180648,0.05227538372898691,12.37630325012437,33.24668631444359,0.7499562333132649,0.1481427934511589,5.555555556,SARS,0.05555555556
2003-02-23,SARS Wave,0.6071428571428571,0,0.10714285714285714,sensitivity,0.1306642846701214,0.29843677671896723,0.056938721237507955,14.159870807748991,31.564961220879802,1.499893322565061,0.1481427934511589,5.555555556,SARS,0.05555555556
2003-02-24,SARS Wave,0.6071428571428571,0,0.10714285714285714,primary,0.08144618703180724,0.20491885441964033,0.029868753495791267,8.347984501462228,21.865070588998428,0.49989557134107526,0.1574995498215234,5.555555556,SARS,0.05555555556
2003-02-24,SARS Wave,0.6071428571428571,0,0.10714285714285714,sensitivity,0.08143055575210534,0.175948481680605,0.03692907697933806,9.97156476311188,22.081750279016077,1.1351551415325232,0.1574995498215234,5.555555556,SARS,0.05555555556
2003-02-25,SARS Wave,0.55,0.028571428571428574,0.10714285714285714,primary,0.08973682515307368,0.2760849878751642,0.03479298472836556,9.754959592769675,25.3526310850771,0.5781254242154037,0.16550828519257996,5.555555556,SARS,0.05555555556
2003-02-25,SARS Wave,0.55,0.028571428571428574,0.10714285714285714,sensitivity,0.08720594169479048,0.19922838198570794,0.0332204486758394,11.260878128360742,25.38634637152098,1.2783893391011154,0.16550828519257996,5.555555556,SARS,0.05555555556
2003-02-26,SARS Wave,0.47307692307692306,0.028571428571428574,0.12912087912087913,primary,0.10331852777767472,0.27469203519444296,0.03816929468880395,10.583607039186132,26.737265853987587,0.6667446194941088,0.17223587372230464,5.555555556,SARS,0.05555555556
2003-02-26,SARS Wave,0.47307692307692306,0.028571428571428574,0.12912087912087913,sensitivity,0.10348191423978384,0.23475510168765765,0.045040626685476405,10.518493368558374,22.47812714646747,1.5231646564595673,0.17223587372230464,5.555555556,SARS,0.05555555556
2003-02-27,SARS Wave,0.55,0.03406593406593407,0.1401098901098901,primary,0.13617841952258608,0.38006228730161506,0.04305764039697254,1.1419372799495655,2.319334645133619,0.31992800681655653,0.17724002278267031,5.555555556,SARS,0.05555555556
2003-02-27,SARS Wave,0.55,0.03406593406593407,0.1401098901098901,sensitivity,0.08950933064689157,0.17955489752940956,0.04321043436390973,4.154887466906013,8.246728383120486,0.7815536276314297,0.17724002278267031,5.555555556,SARS,0.05555555556
2003-03-03,SARS Wave,0.48436293436293437,0.03406593406593407,0.14783189783189782,primary,0.1010127179787727,0.3904409633134417,0.041564876650968655,0.5676580587041862,1.1804953528198645,0.14002609201252195,0.17667995253319194,5.555555556,SARS,0.05555555556
2003-03-03,SARS Wave,0.48436293436293437,0.03406593406593407,0.14783189783189782,sensitivity,0.06288404014684906,0.2502032716882634,0.030014673846639466,1.5821767162504967,3.5347332940759957,0.21431231373876958,0.17667995253319194,5.555555556,SARS,0.05555555556
2003-03-04,SARS Wave,0.5455874241588528,0.03406593406593407,0.13252577538291824,primary,0.23964146804799127,0.7273811515611579,0.088208851035739,0.21326624440193107,0.3250808074099087,0.11252335565660931,0.17103906173711653,5.555555556,SARS,0.05555555556
2003-03-04,SARS Wave,0.5455874241588528,0.03406593406593407,0.13252577538291824,sensitivity,0.06165480074709475,0.4207069733673907,0.028351549828591113,0.9305534169920134,2.2255060122944212,0.15117537090586847,0.17103906173711653,5.555555556,SARS,0.05555555556
2003-03-05,SARS Wave,0.5336826622540908,0.03406593406593407,0.14443053728768016,primary,0.07306820036644966,0.7064852437034492,0.03870281167010413,1.275473798928527,3.225820752696369,0.20513603719534712,0.16362379132768962,5.555555556,SARS,0.05555555556
2003-03-05,SARS Wave,0.5336826622540908,0.03406593406593407,0.14443053728768016,sensitivity,0.06452007348464389,0.4933733065326692,0.04071152256449664,1.65981918214406,3.543980497060337,0.24391292847810905,0.16362379132768962,5.555555556,SARS,0.05555555556
2003-03-06,SARS Wave,0.4998480757879254,0.041584731058415265,0.11059595082151473,primary,0.09197763147762733,0.5726453041235134,0.05232036471488589,1.3047169582545741,3.078396021635248,0.28348179421566155,0.15519774291631147,5.555555556,SARS,0.05555555556
2003-03-06,SARS Wave,0.4998480757879254,0.041584731058415265,0.11059595082151473,sensitivity,0.07798787779355154,0.3265247863199148,0.04978133364053763,1.6569483832062224,3.441064833628249,0.32574761536234803,0.15519774291631147,5.555555556,SARS,0.05555555556
2003-03-07,SARS Wave,0.4753582798695581,0.013013302486986697,0.1446095562636916,primary,0.09060202364528658,0.44450657258413045,0.048462682994788536,1.2816971697205033,3.093803144656162,0.2834518989382276,0.14578312939078844,5.555555556,SARS,0.05555555556
2003-03-07,SARS Wave,0.4753582798695581,0.013013302486986697,0.1446095562636916,sensitivity,0.06930319803515933,0.28001875420443056,0.0442191560029545,1.9217284288617988,3.9115254061749356,0.3484289102589785,0.14578312939078844,5.555555556,SARS,0.05555555556
2003-03-08,SARS Wave,0.48085278536406356,0.020949810423494634,0.15437756603170136,primary,0.07679407912020315,0.38578970391126777,0.04254017101324924,1.3024912288636536,3.138127997836059,0.2434411563629591,0.13618127011024456,5.555555556,SARS,0.05555555556
2003-03-08,SARS Wave,0.48085278536406356,0.020949810423494634,0.15437756603170136,sensitivity,0.0660180962406251,0.18119889838076197,0.04097219248187032,2.0931056431361452,4.084517341351649,0.4232707005580083,0.13618127011024456,5.555555556,SARS,0.05555555556
2003-03-09,SARS Wave,0.46275323785275135,0.02385866627352695,0.18960704243764837,primary,0.08558610956566842,0.543679922329561,0.04671255782865975,1.5309413861836931,3.8220484142244544,0.28008019299413933,0.12591762669432444,5.555555556,SARS,0.05555555556
2003-03-09,SARS Wave,0.46275323785275135,0.02385866627352695,0.18960704243764837,sensitivity,0.07710990757659156,0.21157094500722667,0.049709244429465,2.4171348515295317,4.851546230928853,0.5084495070652226,0.12591762669432444,5.555555556,SARS,0.05555555556
2003-03-10,SARS Wave,0.4185001935997071,0.02935317176803245,0.24781910064970658,primary,0.12548910631000398,0.34757635532255005,0.05704332847750902,0.3208118916804019,0.5419035565587453,0.15292191327061436,0.1157977431285018,5.555555556,SARS,0.05555555556
2003-03-10,SARS Wave,0.4185001935997071,0.02935317176803245,0.24781910064970658,sensitivity,0.05774227147142881,0.11174484813732442,0.03334627232682146,1.8361101332345875,3.739165423892503,0.49424085060475387,0.1157977431285018,5.555555556,SARS,0.05555555556
2003-03-11,SARS Wave,0.3561934527215377,0.03801118042604111,0.2880169979904611,primary,0.07315371770748072,0.28177327693192356,0.026069910510161727,0.11676024198522135,0.20001102979963195,0.05263068098163541,0.1059233271359094,5.555555556,SARS,0.05555555556
2003-03-11,SARS Wave,0.3561934527215377,0.03801118042604111,0.2880169979904611,sensitivity,0.03546638622943382,0.05695904153730725,0.02027218256938925,1.731098854862694,3.329652913742904,0.5082000080005772,0.1059233271359094,5.555555556,SARS,0.05555555556
2003-03-12,SARS Wave,0.33476488129296617,0.04277308518794587,0.32849318846665154,primary,0.22772908092169164,1.0330510671567659,0.05233875762061386,0.08042063279603874,0.12498714660100055,0.04463830600730956,0.09639331893546876,5.555555556,SARS,0.05555555556
2003-03-12,SARS Wave,0.33476488129296617,0.04277308518794587,0.32849318846665154,sensitivity,0.03792536384674118,0.06465535788097174,0.021530538935409224,0.8159937052144057,1.4796103546930948,0.30141284052257517,0.09639331893546876,5.555555556,SARS,0.05555555556
2003-03-13,SARS Wave,0.3352661344257983,0.04477809771927419,0.3385182511232931,primary,0.5039256215734711,3.078464179589546,0.11703479350388414,0.09922597140288142,0.14682160680275183,0.055033828111397703,0.08675650643674054,5.555555556,SARS,0.05555555556
2003-03-13,SARS Wave,0.3352661344257983,0.04477809771927419,0.3385182511232931,sensitivity,0.04258453492083078,0.0862285993957184,0.02323100928960797,0.7254164418043066,1.3736378716804776,0.1984599159641664,0.08675650643674054,5.555555556,SARS,0.05555555556
2003-03-14,SARS Wave,0.30261307320130854,0.0504923834335599,0.36164750282397345,primary,0.33484450524383363,1.5993372690506464,0.09323418870736164,0.08793335861437812,0.13393224035762968,0.04465121739365963,0.07764836559437327,5.555555556,SARS,0.05555555556
2003-03-14,SARS Wave,0.30261307320130854,0.0504923834335599,0.36164750282397345,sensitivity,0.032113559161908174,0.07420883583111587,0.016567583553144367,0.676036406916662,1.3320041793912045,0.1627516868599872,0.07764836559437327,5.555555556,SARS,0.05555555556
2003-03-15,SARS Wave,0.2826130732013085,0.04827016121133768,0.3584728996493703,primary,0.4453650274952149,4.4503197970945045,0.10673062639564444,0.09424478786303982,0.14406177990087163,0.05085083320350536,0.06905643777783468,5.555555556,SARS,0.05555555556
2003-03-15,SARS Wave,0.2826130732013085,0.04827016121133768,0.3584728996493703,sensitivity,0.03881722880806811,0.3419883382639699,0.018880860865100917,0.42340939720515064,0.8446535743375441,0.10369549418329126,0.06905643777783468,5.555555556,SARS,0.05555555556
2003-03-16,SARS Wave,0.29011607440178866,0.0449688406831264,0.3530707387850245,primary,1.117979544101191,8.895016353204248,0.23872022410700172,0.12568296702661003,0.1851595604995246,0.07407864550479931,0.06084927039163847,5.555555556,SARS,0.05555555556
2003-03-16,SARS Wave,0.29011607440178866,0.0449688406831264,0.3530707387850245,sensitivity,0.9442699575622011,22.433654145299688,0.20131312147058616,0.11497062064124254,0.17006438358747825,0.06837746539415937,0.06084927039163847,5.555555556,SARS,0.05555555556
2003-03-17,SARS Wave,0.3020470006184292,0.05171923314780458,0.332034632034632,primary,0.8362353146348585,22.169707434124632,0.24055643401159998,0.1243005017824122,0.1776321833244971,0.07844861271181447,0.05309033639669411,5.555555556,SARS,0.05555555556
2003-03-17,SARS Wave,0.3020470006184292,0.05171923314780458,0.332034632034632,sensitivity,0.06282307517342864,2.4106303798343354,0.027723523269741424,0.31323207985523793,0.6378435075459282,0.08622486453363348,0.05309033639669411,5.555555556,SARS,0.05555555556
2003-03-18,SARS Wave,0.34073987116970683,0.05443922701824093,0.3042983565107459,primary,0.28602467001776744,1.2019553651071844,0.08040574326436874,0.10605239657802594,0.1621877464469235,0.05405203630447572,0.04498652637967374,5.555555556,SARS,0.05555555556
