mu,size,period,sensitivity
0.537269913964362,0.26829044286028336,COVID Wave 1,covid_primary_t
0.7295392573239152,0.47217046747831487,COVID Wave 1,covid_primary_t
0.5266584228786895,0.5521505738853889,COVID Wave 1,covid_primary_t
0.6015308066803683,0.6109603345892369,COVID Wave 1,covid_primary_t
0.5267750701024225,0.7413663664127564,COVID Wave 1,covid_primary_t
0.5336980686147164,0.5433617954445622,COVID Wave 1,covid_primary_t
0.5443380182505432,0.39020651172268334,COVID Wave 1,covid_primary_t
0.5409507980528032,0.5210637884449942,COVID Wave 1,covid_primary_t
0.6085698150447206,0.5119162464280129,COVID Wave 1,covid_primary_t
0.5267795255387256,0.5406422824704467,COVID Wave 1,covid_primary_t
0.6404605424468901,0.43781829319632215,COVID Wave 1,covid_primary_t
0.6263050675114941,0.4453395312470346,COVID Wave 1,covid_primary_t
0.5517496869314574,0.5926535213041734,COVID Wave 1,covid_primary_t
0.5193415577617206,0.6503709305634698,COVID Wave 1,covid_primary_t
0.5338195299470881,0.35710901777297843,COVID Wave 1,covid_primary_t
0.5980478952575388,0.44652038389190246,COVID Wave 1,covid_primary_t
0.46596219566319,0.712509595788682,COVID Wave 1,covid_primary_t
0.4732613819367496,0.7135011241840065,COVID Wave 1,covid_primary_t
0.4733795458368398,0.3857696906475082,COVID Wave 1,covid_primary_t
0.576544067524976,0.41447966842013395,COVID Wave 1,covid_primary_t
0.43769294893981747,0.8329244637132995,COVID Wave 1,covid_primary_t
0.7222277574700671,0.38474629934826743,COVID Wave 1,covid_primary_t
0.5870826070394406,0.5242052784734004,COVID Wave 1,covid_primary_t
0.5515365485494286,0.5439758373879253,COVID Wave 1,covid_primary_t
0.5516661191315625,0.798948346769836,COVID Wave 1,covid_primary_t
0.5481622834139304,0.40452870882015807,COVID Wave 1,covid_primary_t
0.5445361458474638,0.6842638242021738,COVID Wave 1,covid_primary_t
0.49117864924947013,0.8892523827431136,COVID Wave 1,covid_primary_t
0.5906249482960486,0.5678975464941549,COVID Wave 1,covid_primary_t
0.5873160301253786,0.6067275406937928,COVID Wave 1,covid_primary_t
0.6156384904213243,0.5637377015907394,COVID Wave 1,covid_primary_t
0.4875428564024996,0.5236125930621051,COVID Wave 1,covid_primary_t
0.6619365594222086,0.4320466837356756,COVID Wave 1,covid_primary_t
0.45200651454561536,0.5849415297687737,COVID Wave 1,covid_primary_t
