t,period,dataset,kt,kt_upper,kt_lower,Rt,Rt_upper,Rt_lower
2020-01-24,COVID Wave 1,primary,1.496337920677238,9.020918205089755,0.4696568051985749,0.8365031835474526,1.2001758639713456,0.5199249909290318
2020-01-25,COVID Wave 1,primary,0.9131972132777624,3.830956850518074,0.33199053681198853,0.6931130115152639,1.0354703556292923,0.39282061513015676
2020-01-26,COVID Wave 1,primary,0.6580597163322536,3.2354997627393365,0.2171511760876248,0.5514052075733245,0.857063452222401,0.2857077729904449
2020-01-27,COVID Wave 1,primary,0.5479087876578881,2.4930940636037913,0.18880482264827442,0.4995435582428538,0.7743509459382049,0.2580383123972838
2020-01-28,COVID Wave 1,primary,0.577243482638459,2.5725965255391463,0.19647196394308009,0.48761998908703325,0.8064316664073846,0.2581564846598816
2020-01-29,COVID Wave 1,primary,0.3557317183085149,1.2890290411018843,0.1099086381908995,0.3809449972459717,0.6128358033369329,0.22576127574230126
2020-01-30,COVID Wave 1,primary,0.17361556776284992,0.43480104756595006,0.0499175604266682,0.3376166270573454,0.5924742790465056,0.185164957279493
2020-01-31,COVID Wave 1,primary,0.1915138520848226,0.7101339580175432,0.05677803804154935,0.37396864178535555,0.6248288116045815,0.20838300306342014
2020-02-01,COVID Wave 1,primary,0.6378214259737932,9.905472319347032,0.1073194093850305,0.33601815513822336,0.5517309367704253,0.17563000463717277
2020-02-02,COVID Wave 1,primary,1.084128999862764,19.10081068067652,0.15786078072851165,0.2980676684910912,0.4786330619362692,0.14287700621092536
2020-02-03,COVID Wave 1,primary,1.2284241671008709,7.018967739611596,0.1678995740571279,0.3002802017390754,0.4999996097345463,0.15004252593390244
2020-02-04,COVID Wave 1,primary,0.7773857760341233,4.694938831160714,0.24860887317101887,0.6503057695479398,1.0527218155828357,0.3157457110397435
2020-02-05,COVID Wave 1,primary,0.8836421275764956,5.352044306586136,0.2480246371353964,0.6861227295481286,1.1111705877706495,0.3888267048471444
2020-02-06,COVID Wave 1,primary,1.3331024387570656,6.42155365420849,0.35878774907349775,0.8354674495402182,1.3331805967894808,0.40009361514330205
2020-02-07,COVID Wave 1,primary,1.630815727513411,9.94494042178146,0.49035284443098526,0.8567480220183341,1.3123309343692169,0.5000284165585285
2020-02-08,COVID Wave 1,primary,1.7460386141310684,20.435349947982033,0.5473221013870535,0.8928493178281167,1.333274513177763,0.5333250137784473
2020-02-09,COVID Wave 1,primary,1.1836769502407058,7.687266521376957,0.39921499972764257,0.7553319670697551,1.111379428855598,0.44434080706919477
