t,method,rt,rt_lower,rt_upper,period
2020-01-23,EpiNow2,1.9827583541693987,1.6872007422051891,2.317548706442258,COVID Wave 1
2020-01-24,EpiNow2,1.9590447646478897,1.6848506157035734,2.271860540178697,COVID Wave 1
2020-01-25,EpiNow2,1.919614064265366,1.6424961311860926,2.265152087788972,COVID Wave 1
2020-01-26,EpiNow2,1.8697563653803024,1.5815691079531191,2.246301187115297,COVID Wave 1
2020-01-27,EpiNow2,1.8124197678135023,1.508476119756513,2.204872087562531,COVID Wave 1
2020-01-28,EpiNow2,1.7480576296583026,1.4314147982768504,2.1523553224499463,COVID Wave 1
2020-01-29,EpiNow2,1.6693665224404717,1.3540436380673055,2.061428066293175,COVID Wave 1
2020-01-30,EpiNow2,1.5771388262230637,1.2721855101888069,1.950762920433104,COVID Wave 1
2020-01-31,EpiNow2,1.4804460807724371,1.1970227474104942,1.827693409310145,COVID Wave 1
2020-02-01,EpiNow2,1.3860228543504838,1.129703182269655,1.7105094133366148,COVID Wave 1
2020-02-02,EpiNow2,1.2968754824170443,1.060222388833581,1.5775874358079958,COVID Wave 1
2020-02-03,EpiNow2,1.2103517760501927,0.9880116424947524,1.472332635294363,COVID Wave 1
2020-02-04,EpiNow2,1.1331919296576918,0.9255184310820838,1.3658579535457658,COVID Wave 1
2020-02-05,EpiNow2,1.0622237570623172,0.8679460187862342,1.27427748639462,COVID Wave 1
2020-02-06,EpiNow2,0.998913106179756,0.8186297356863761,1.1980614811304402,COVID Wave 1
2020-02-07,EpiNow2,0.942140347411731,0.7705312289400312,1.13801679800322,COVID Wave 1
2020-02-08,EpiNow2,0.8995313546103133,0.7358612056402565,1.0893038562113164,COVID Wave 1
2020-02-09,EpiNow2,0.865057439995837,0.7023121149690066,1.0448541662435815,COVID Wave 1
2020-02-10,EpiNow2,0.8360601832404069,0.672599625091079,1.0119384066431327,COVID Wave 1
2020-02-11,EpiNow2,0.8139711804735656,0.6539191782935154,0.9847911328724293,COVID Wave 1
2020-02-12,EpiNow2,0.794623852169426,0.6377401098681925,0.974277483743766,COVID Wave 1
2020-02-13,EpiNow2,0.7825887770690639,0.629752875847951,0.9612458671894246,COVID Wave 1
2020-02-14,EpiNow2,0.7722173273725946,0.6164809451197468,0.9563822273633688,COVID Wave 1
2020-02-15,EpiNow2,0.7670423675877314,0.6107189198227672,0.9523594604588383,COVID Wave 1
2020-02-16,EpiNow2,0.7616516947927633,0.6071105617236976,0.9538611175440498,COVID Wave 1
2020-02-17,EpiNow2,0.7561145859712763,0.6076584023221776,0.951433836812982,COVID Wave 1
2020-02-18,EpiNow2,0.7564794486844917,0.6056429443980683,0.9527169350210178,COVID Wave 1
2020-02-19,EpiNow2,0.7581594702160792,0.6024979693053465,0.9555440268657514,COVID Wave 1
2020-02-20,EpiNow2,0.7590923031265784,0.598100022301891,0.9577795924759,COVID Wave 1
2020-02-21,EpiNow2,0.7644325539267542,0.6075105629902027,0.9567993713538934,COVID Wave 1
2020-02-22,EpiNow2,0.7767440973515258,0.6130853851687669,0.9611275119944184,COVID Wave 1
2020-02-23,EpiNow2,0.7897285812391328,0.6242973169551485,0.9742407070152472,COVID Wave 1
2020-02-24,EpiNow2,0.8071272227949002,0.6405212133259879,0.990149662244896,COVID Wave 1
2020-02-25,EpiNow2,0.83378248279836,0.6610704738398936,1.0154569885313025,COVID Wave 1
2020-02-26,EpiNow2,0.868202114197859,0.6866741119505962,1.057379342668534,COVID Wave 1
2020-02-27,EpiNow2,0.9136777207871052,0.725472304529818,1.1065229899313294,COVID Wave 1
2020-02-28,EpiNow2,0.9697380358889218,0.7633443461343692,1.1753196942930608,COVID Wave 1
2020-02-29,EpiNow2,1.0394367251869885,0.8136287531720964,1.2471665690265197,COVID Wave 1
2020-03-01,EpiNow2,1.1194945473118865,0.8816869429444372,1.343481668255872,COVID Wave 1
2020-03-02,EpiNow2,1.2193788796226956,0.9722743480254912,1.4529999915741865,COVID Wave 1
2020-03-03,EpiNow2,1.3314390538384404,1.0750936912490323,1.5830713726515746,COVID Wave 1
2020-03-04,EpiNow2,1.454599035526478,1.2086368331101045,1.7275173205251226,COVID Wave 1
2020-03-05,EpiNow2,1.5911214344676847,1.347586728020651,1.8734069557912127,COVID Wave 1
2020-03-06,EpiNow2,1.7358369958507285,1.4736656970484578,2.02403840343812,COVID Wave 1
2020-03-07,EpiNow2,1.8763101393536832,1.618229631985128,2.1932279960807595,COVID Wave 1
2020-03-08,EpiNow2,2.006544286541982,1.737814122662673,2.343657881241366,COVID Wave 1
2020-03-09,EpiNow2,2.120399585965547,1.836630074722094,2.467011853656035,COVID Wave 1
2020-03-10,EpiNow2,2.2048191197579623,1.921589943819786,2.573484496429849,COVID Wave 1
2020-03-11,EpiNow2,2.250931936198734,1.959558471330999,2.639358071047002,COVID Wave 1
2020-03-12,EpiNow2,2.253733082024276,1.969678990498849,2.6408912603323356,COVID Wave 1
2020-03-13,EpiNow2,2.2089838122844707,1.9398048389437152,2.5735432943142773,COVID Wave 1
2020-03-14,EpiNow2,2.1327863684088246,1.8754570128123704,2.4778324497441684,COVID Wave 1
2020-03-15,EpiNow2,2.0197295852125685,1.7757666264078882,2.328926233832008,COVID Wave 1
2020-03-16,EpiNow2,1.8801239300605772,1.6636602336132105,2.145242571239424,COVID Wave 1
2020-03-17,EpiNow2,1.7262857072766993,1.532787532340527,1.9547856462664823,COVID Wave 1
2020-03-18,EpiNow2,1.5646391594607731,1.3915700923268548,1.7637485155644197,COVID Wave 1
2020-03-19,EpiNow2,1.4062428024082474,1.2455382459856508,1.5883114964338985,COVID Wave 1
2020-03-20,EpiNow2,1.2595163512946494,1.107016535881946,1.4238531426639824,COVID Wave 1
2020-03-21,EpiNow2,1.122855669715201,0.979976199278566,1.2705236665963295,COVID Wave 1
2020-03-22,EpiNow2,1.0012984779270515,0.8665619789415295,1.1426459792457608,COVID Wave 1
2020-03-23,EpiNow2,0.8923240272543105,0.7694148022484957,1.0285884077995486,COVID Wave 1
2020-03-24,EpiNow2,0.797802392389694,0.6848289342625871,0.9260846798517234,COVID Wave 1
2020-03-25,EpiNow2,0.7160499552339618,0.6109024990465759,0.8310244740799201,COVID Wave 1
2020-03-26,EpiNow2,0.6473355793786639,0.5463538986922478,0.7550847975271964,COVID Wave 1
2020-03-27,EpiNow2,0.589693986794771,0.4927244650529981,0.691895530373304,COVID Wave 1
2020-03-28,EpiNow2,0.5400648426379997,0.4471690085306089,0.6368015652203491,COVID Wave 1
2020-03-29,EpiNow2,0.49798316321826774,0.4068194635969424,0.5908740289316937,COVID Wave 1
2020-03-30,EpiNow2,0.46441734384530253,0.3767327495362116,0.5583724145237968,COVID Wave 1
2020-03-31,EpiNow2,0.4354251810735082,0.34897749229698566,0.5289644338079342,COVID Wave 1
2020-04-01,EpiNow2,0.41294720322032086,0.3265552400741226,0.5066755324461308,COVID Wave 1
2020-04-02,EpiNow2,0.39605728533391266,0.30889822102480846,0.48993849265142514,COVID Wave 1
2020-04-03,EpiNow2,0.38217123832936795,0.29492141449985854,0.47767715866066207,COVID Wave 1
2020-04-04,EpiNow2,0.3748522402742048,0.285284814234804,0.4692619226501598,COVID Wave 1
2020-04-05,EpiNow2,0.3699331665173185,0.2780778308730561,0.4675386351832058,COVID Wave 1
2020-04-06,EpiNow2,0.3684966376825539,0.27522950523617407,0.4683554372388559,COVID Wave 1
2020-04-07,EpiNow2,0.3717087667992376,0.2800656739226263,0.47598266931467,COVID Wave 1
2020-04-08,EpiNow2,0.3782367548002874,0.2842017312872676,0.4882165341730791,COVID Wave 1
2020-04-09,EpiNow2,0.3905736532213599,0.2882941291828681,0.5065001837514751,COVID Wave 1
2020-04-10,EpiNow2,0.40457397455441374,0.2996139810136683,0.5291551807090116,COVID Wave 1
2020-04-11,EpiNow2,0.42207416252072183,0.3135382044719791,0.5522236101685706,COVID Wave 1
2020-04-12,EpiNow2,0.44363327393746665,0.32797618923496824,0.5810296075756837,COVID Wave 1
2020-04-13,EpiNow2,0.4696174977118664,0.3467028629216412,0.615688872723539,COVID Wave 1
2020-04-14,EpiNow2,0.4968600357397326,0.3671758543987219,0.6491891432561601,COVID Wave 1
2020-06-25,EpiNow2,1.4344506681429348,1.2185934115410244,1.6389406700462383,COVID Wave 2
2020-06-26,EpiNow2,1.5051021390821675,1.2999399194599484,1.7242390271448278,COVID Wave 2
