t_start,t_end,window,k_input,Rc,Rc_lower,Rc_upper,kc,kc_lower,kc_upper,window_t,t
0,7,weekly,0.1,3.1102385425064623,0.5505316013893854,10.636364399822913,0.14216544775380296,0.05586624505986174,440.40176553647945,7,3.5
0,14,fortnightly,0.1,2.417219353399448,0.8949370440151972,5.689246350045319,0.11125449279067089,0.06509360780065283,0.3352553730263191,14,7
1,8,weekly,0.1,3.1102385425064623,0.5505316013893854,10.636364399822913,0.14216544775380296,0.05586624505986174,440.40176553647945,7,4.5
1,15,fortnightly,0.1,2.417219353399448,0.8949370440151972,5.689246350045319,0.11125449279067089,0.06509360780065283,0.3352553730263191,14,8
2,9,weekly,0.1,2.6874126770992697,0.34208191130827886,8.693018951390227,0.12594744907973182,0.051801445569234904,438.1377123143107,7,5.5
2,16,fortnightly,0.1,2.2898566143181234,0.7871467510156305,5.310230327671596,0.10954354849105351,0.06432968891524572,0.29419488071981464,14,9
3,10,weekly,0.1,2.650602328742946,0.37758497278686387,8.609798049727342,0.12135487741257656,0.05174987757234901,1.4839584041010794,7,6.5
3,17,fortnightly,0.1,2.235621510134386,0.860417916629837,4.681581044169566,0.10890748625107251,0.06511261224359245,0.26290964977212616,14,10
4,11,weekly,0.1,2.6059261047955693,0.4454132097318453,7.936064078508154,0.11790118128849646,0.052390699963149455,0.7434176308589739,7,7.5
4,18,fortnightly,0.1,2.188928106639137,0.9219409277424475,4.410237754415217,0.10843312781978366,0.06418789879766716,0.23502324172363645,14,11
5,12,weekly,0.1,2.5780485939801845,0.4626242550185653,7.868354629896125,0.11548304592656126,0.05284134946943889,0.5363354343366021,7,8.5
5,19,fortnightly,0.1,2.1666237303587077,0.9653458736355661,4.348376307341315,0.10765416305099229,0.06421617360247041,0.21319399598517563,14,12
6,13,weekly,0.1,2.5292065993899224,0.4838107305906898,7.18460544420761,0.11284553694757042,0.053546685538296945,0.4945932354093447,7,9.5
6,20,fortnightly,0.1,2.149167277543979,0.9994106425067493,4.370128113115803,0.10623785703529069,0.06393371819257955,0.19973543425778129,14,13
7,14,weekly,0.1,2.53113996108346,0.5067265668949447,7.589643238674783,0.11199304441064051,0.05454498023566861,0.49622630694299996,7,10.5
7,21,fortnightly,0.1,2.1409050736885678,1.0199592155984445,4.206458404573866,0.10499132436523749,0.06647588930854942,0.18812795161946694,14,14
8,15,weekly,0.1,2.499049353572284,0.5541138250017218,7.577139361452228,0.1109894109410479,0.05764787454414957,0.4588707738343302,7,11.5
8,22,fortnightly,0.1,2.1343171021093377,1.027488133330579,4.074121864579787,0.10393753479060323,0.06781016862435385,0.1860162509086565,14,15
9,16,weekly,0.1,2.402438694855323,0.565188629354806,6.806977864135757,0.11103937944098176,0.058976397352495546,0.39167337855759193,7,12.5
9,23,fortnightly,0.1,2.145675878174837,1.0173425201800286,3.9856771631526837,0.10378163204389969,0.07026770864628694,0.1804291493729914,14,16
10,17,weekly,0.1,2.3199096958481356,0.5993978437180224,5.636916965182707,0.10889625823544462,0.05809093768786877,0.32747514205889283,7,13.5
10,24,fortnightly,0.1,2.1586486280875454,1.0068251539340964,3.8760414338272207,0.1037004162943395,0.07085394854889678,0.17589127809318195,14,17
11,11,daily,0.1,2.927542518537683,0.1576645957291498,12.582376791671921,0.18279538164909295,0.04854983081069866,1895675.869198394,1,11
11,18,weekly,0.1,2.256061049841943,0.6306478032546946,4.893134361163567,0.10792506952235026,0.057020334969770874,0.28423009522537374,7,14.5
11,25,fortnightly,0.1,2.1589923432817293,1.0218446092486846,3.8230628144624585,0.10297959746600892,0.07250861938160987,0.1676489842369133,14,18
12,12,daily,0.1,2.927542518537683,0.1576645957291498,12.582376791671921,0.18279538164909295,0.04854983081069866,1895675.869198394,1,12
12,19,weekly,0.1,2.237703246786261,0.7106624401910272,4.854845984014497,0.10665022847219331,0.05860410335736332,0.22938663900385528,7,15.5
12,26,fortnightly,0.1,2.1436599608560454,1.0436618552553145,3.7202802415558125,0.10221753603699013,0.07274076713375154,0.16407751716840288,14,19
13,13,daily,0.1,2.7901836034499445,0.1932347493022805,11.552639997682087,0.17496451765852952,0.047773158476713685,1920841.3417341847,1,13
13,20,weekly,0.1,2.224833790078988,0.7193906014511232,5.137663836844542,0.10592853543963336,0.06173930068579268,0.21972005642201478,7,16.5
13,27,fortnightly,0.1,2.1197594594469202,1.1054498651592242,3.6612838502765874,0.10156052373823725,0.0738559954578171,0.15534508165183245,14,20
14,14,daily,0.1,2.703901585422512,0.20431136951583193,11.01083626934796,0.1790842460130743,0.0471644928141425,1920841.3417341847,1,14
14,21,weekly,0.1,2.237283100285193,0.7300918649665978,5.355729739542006,0.1056090833618188,0.06315467260675921,0.21302963443437875,7,17.5
14,28,fortnightly,0.1,2.0991333804228236,1.1372198866601273,3.509351639500989,0.10099507862109132,0.07446182907212508,0.14910169821637156,14,21
15,15,daily,0.1,2.647242708124612,0.20141207514830425,10.162381539850438,0.17216069805787812,0.04654295727478385,1920841.3417341847,1,15
15,22,weekly,0.1,2.2547474910308236,0.7219152690883157,5.159289692740568,0.10498635722717174,0.06329962209513443,0.21429904919926987,7,18.5
15,29,fortnightly,0.1,2.0818532849355744,1.172064796938699,3.4015888994253523,0.10097102915588548,0.07622798300650481,0.14252377934117985,14,22
16,16,daily,0.1,2.511241276196872,0.17403501675173538,10.097748420008358,0.16954866444180325,0.04798482468730512,1739075.9646152824,1,16
16,23,weekly,0.1,2.272565370546532,0.7368601481528335,5.125401148119991,0.10420258532625322,0.06351845433249181,0.2103305476135975,7,19.5
